Question,Answer
"What is the difference between autism and pervasive developmental disorder, not otherwise specified?","Autism is a diagnosis classified under the broad term of pervasive developmental disorders. It is the most severe pervasive developmental disorder in which there is language and social impairments and pattern of restrictive and stereotyped behaviors, interests and activities. For a diagnosis of autism (autistic disorder), the following criteria must be met:
1. a total of six (or more) items from (1), (2), and (3), with at least two from (1), and one each from (2) and (3):qualitative impairment in social interaction, as manifested by at least two of the following:marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interactionfailure to develop peer relationships appropriate to developmental levela lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)lack of social or emotional reciprocityqualitative impairments in communication as manifested by at least one of the following:delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with othersstereotyped and repetitive use of language or idiosyncratic languagelack of varied, spontaneous make-believe play or social imitative play appropriate to developmental levelrestricted repetitive and stereotyped patterns of behavior, interests, and activities, as manifested by at least one of the following:encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focusapparently inflexible adherence to specific, nonfunctional routines or ritualsstereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)persistent preoccupation with parts of objects
A. qualitative impairment in social interaction, as manifested by at least two of the following:marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interactionfailure to develop peer relationships appropriate to developmental levela lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)lack of social or emotional reciprocity
a. marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interaction
b. failure to develop peer relationships appropriate to developmental level
c. a lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)
d. lack of social or emotional reciprocity
B. marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interaction
C. failure to develop peer relationships appropriate to developmental level
D. a lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)
E. lack of social or emotional reciprocity
F. qualitative impairments in communication as manifested by at least one of the following:delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with othersstereotyped and repetitive use of language or idiosyncratic languagelack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
a. delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)
b. in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with others
c. stereotyped and repetitive use of language or idiosyncratic language
d. lack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
G. delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)
H. in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with others
I. stereotyped and repetitive use of language or idiosyncratic language
J. lack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
K. restricted repetitive and stereotyped patterns of behavior, interests, and activities, as manifested by at least one of the following:encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focusapparently inflexible adherence to specific, nonfunctional routines or ritualsstereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)persistent preoccupation with parts of objects
a. encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focus
b. apparently inflexible adherence to specific, nonfunctional routines or rituals
c. stereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)
d. persistent preoccupation with parts of objects
L. encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focus
M. apparently inflexible adherence to specific, nonfunctional routines or rituals
N. stereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)
O. persistent preoccupation with parts of objects
2. qualitative impairment in social interaction, as manifested by at least two of the following:marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interactionfailure to develop peer relationships appropriate to developmental levela lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)lack of social or emotional reciprocity
A. marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interaction
B. failure to develop peer relationships appropriate to developmental level
C. a lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)
D. lack of social or emotional reciprocity
3. marked impairment in the use of multiple nonverbal behaviors such as eye-to-eye gaze, facial expression, body postures, and gestures to regulate social interaction
4. failure to develop peer relationships appropriate to developmental level
5. a lack of spontaneous seeking to share enjoyment, interests, or achievements with other people (e.g., by a lack of showing, bringing, or pointing out objects of interest)
6. lack of social or emotional reciprocity
7. qualitative impairments in communication as manifested by at least one of the following:delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with othersstereotyped and repetitive use of language or idiosyncratic languagelack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
A. delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)
B. in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with others
C. stereotyped and repetitive use of language or idiosyncratic language
D. lack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
8. delay in, or total lack of, the development of spoken language (not accompanied by an attempt to compensate through alternative modes of communication such as gesture or mime)
9. in individuals with adequate speech, marked impairment in the ability to initiate or sustain a conversation with others
10. stereotyped and repetitive use of language or idiosyncratic language
11. lack of varied, spontaneous make-believe play or social imitative play appropriate to developmental level
12. restricted repetitive and stereotyped patterns of behavior, interests, and activities, as manifested by at least one of the following:encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focusapparently inflexible adherence to specific, nonfunctional routines or ritualsstereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)persistent preoccupation with parts of objects
A. encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focus
B. apparently inflexible adherence to specific, nonfunctional routines or rituals
C. stereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)
D. persistent preoccupation with parts of objects
13. encompassing preoccupation with one or more stereotyped and restricted patterns of interest that is abnormal either in intensity or focus
14. apparently inflexible adherence to specific, nonfunctional routines or rituals
15. stereotyped and repetitive motor manners (e.g., hand or finger flapping or twisting, or complex whole-body movements)
16. persistent preoccupation with parts of objects
17. Delays or abnormal functioning in at least one of the following areas, with onset prior to age 3 years: (1) social interaction, (2) language as used in social communication, or (3) symbolic or imaginative play.
18. The disturbance is not better accounted for by Rett’s disorder or childhood disintegrative disorder.
The diagnosis of pervasive developmental disorder, not otherwise specified (PDD, NOS) is a diagnosis characterized by severe and persistent impairment in responding appropriately in social interaction that is associated with either 1) impairment in verbal or nonverbal communication skills, OR 2) stereotyped behavior, restricted interests and activities. This diagnosis is made when the symptoms or characteristics do not meet full criteria for a specific pervasive developmental disorder, schizotypal personality disorder, avoidant personality disorder or other psychiatric disorder.
Although, DSM-IV-TR does not offer specific diagnostic criteria for PDDNOS, there are at least five subgroups of individuals within PDDNOS:
1. atypical autism: young children who have not yet developed full –blown autistic disorder; individuals who “almost but not quite” meet the full criteria for autistic disorder (i.e., broader autism phenotype or lesser variant autism; patients who have a late onset (i.e., after age 3 years) of autistic disorder.
2. residual autism: individuals who had a history of having autistic disorder but presently do not meet the criteria for autistic disorder (i.e., still having some autistic features subsequent to effective interventions and/or natural development)
3. atypical Asperger's disorder: young children who have not yet developed full-blown Asperger's disorder and individuals who ‘almost but not quite” meet the full criteria for Asperger's disorder.
4. Mixed features of atypical autism and atypical Asperger's disorder
5. Comorbid autism: children with a medical or neurological disorder (e.g., tuberous sclerosis) associated with some ""autistic features""
Reference:
Tsai L: Other Pervasive Developmental Disorders. Textbook of Child and Adolescent Psychiatry. The American Psychiatric Publishing Chapter 21:338-341, 2004"
What are Autism Signs and Symptoms in Social Communication?,"Individuals with autism spectrum disorder (ASD) may have challenges in social communication. You might notice some of the following signs:
• Limited response:Your child may not respond when you call their name or may not seem to hear you at times.
• Preference for solitude:They might resist being cuddled and prefer to play alone, withdrawing into their own space.
• Eye contact issues:Poor eye contact and a lack of facial expressions are common.
• Speech difficulties:Some children might not speak at all or show delays in speech development. In some cases, they may lose previously learned words or sentences.
• Conversation challenges:They might struggle to start or maintain a conversation. When they do speak, it may only be for requests or to name objects.
• Unique speech patterns:Their voice might sound unusual, such as using a singsong tone or robotic speech.
• Echolalia:They may repeat words or phrases without understanding their meaning.
• Understanding problems:Some may not grasp simple questions or directions.
• Emotion expression:There may be a lack of expression regarding emotions or an unawareness of others’ feelings.
• Sharing interests:Your child might not point to or bring objects to share with others.
• Social interaction issues:They may approach social situations in inappropriate ways, such as being passive, aggressive, or disruptive.
• Difficulty with nonverbal cues:Recognizing facial expressions, body language, or tone of voice can be a struggle."
What are Autism Signs and Symptoms in Patterns of Behaviour?,"Repetitive behaviors and specific interests are often seen in children and adults with autism spectrum disorder. These are one of the defining autism signs and symptoms. You may notice some of these behaviors:
• Repetitive movements:Common actions include rocking, spinning, or flapping hands.
• Self-harm activities:Some might engage in self-harm, like biting or banging their heads.
• Ritualistic behavior:They often create routines and may become upset if there are small changes.
• Coordination issues:This can involve clumsiness or odd movements, like walking on tiptoes or having stiff body language.
• Fascination with details:Your child may focus intensely on small details of objects, such as the wheels on a toy, without understanding how these objects function.
• Sensitivity to stimuli:Some children are extra sensitive to lights, sounds, or touch, yet may not react to pain or temperature changes.
• Play limitations:They might not participate in pretend play or mimic others in social settings.
• Intense interests:A fixation on a certain object or activity can be marked by unusual intensity or focus.
• Food preferences:It’s possible for your child to have strict eating habits, refusing certain textures or only eating a few specific foods.
As children with autism grow older, some may become more engaged with others and display fewer behavior issues. Those with less severe challenges may ultimately lead typical lives. In contrast, some may continue to face difficulties in language and social skills, especially during their teenage years, which can lead to increased emotional and behavioral challenges.
Autism Spectrum Disorder Signs and Symptoms"
Autism Signs and Symptoms when to see a doctor?,"Children develop at different rates, and many do not meet the timelines suggested in parenting books. That said, those with autism spectrum disorder often show signs of delayed development before they turn 2 years old. If you have concerns about your child’s development or suspect they may have ASD, it is important to consult with your physician. Symptoms of autism can also share similarities with other developmental disorders."
What are the Autism Signs and Symptoms?,"Early indicators of autism spectrum disorder typically involve noticeable delays in speech and social skills. Your doctor may conduct developmental tests if your child displays some of the following signs:
• Response to emotions:Your child should respond with a smile or happy expression by 6 months.
• Mimicking:By 9 months, they should mimic sounds or facial expressions.
• Babbling:Cooing or babbling should be present by 12 months.
• Gestures:Pointing or waving should occur by 14 months.
• First words:Saying single words should happen by 16 months.
• Pretend play:By 18 months, your child should engage in make-believe play.
• Two-word phrases:Speaking in two-word phrases should start by 24 months.
• Loss of skills:Losing language or social skills at any age should prompt a consultation.
Recognizing these signs and seeking help early can make a significant difference in your child’s development and quality of life."
What are Autism Vaccines and Autism Spectrum Disorder?,"You may have heard discussions linking childhood vaccines to autism spectrum disorder. This topic has generated a lot of debate. However, research does not support any connection between vaccines and autism.
Many studies conducted over the years have found no reliable evidence that links vaccines to the development of autism spectrum disorder. The original research that raised these concerns has been retracted. This was due to significant flaws in its design and methods.
It’s important to recognize that not vaccinating your child can have serious consequences. Children who do not receive their vaccinations are at higher risk of contracting and spreading dangerous diseases. Conditions like whooping cough, measles, and mumps can pose serious health threats. Vaccinations play a key role in protecting your child and others in the community.
In sum, while the causes of autism spectrum disorder are still being studied, you can trust that vaccines are safe and do not cause the disorder. Keeping your child up to date with vaccinations is essential for their health and the safety of those around them."
What are Autism Factors That Increase Risk?,"Several factors may contribute to a higher likelihood of your child being diagnosed with autism spectrum disorder (ASD). Understanding these can help you be more aware of potential risks.
• Child’s Gender: Boys are approximately four times more likely to be diagnosed with ASD compared to girls.
• Family History: If you have one child with autism, there is an increased chance of having another child with the same condition. Additionally, some parents or family members may show mild social or communication difficulties similar to those seen in ASD.
• Coexisting Conditions: Certain medical disorders can elevate the risk of ASD. Conditions include:Fragile X Syndrome: An inherited condition leading to intellectual difficulties.Tuberous Sclerosis: This causes benign tumors to form in the brain.Rett Syndrome: Almost always affecting girls, this genetic disorder results in slowed head growth, intellectual challenges, and loss of purposeful hand movements.
• Fragile X Syndrome: An inherited condition leading to intellectual difficulties.
• Tuberous Sclerosis: This causes benign tumors to form in the brain.
• Rett Syndrome: Almost always affecting girls, this genetic disorder results in slowed head growth, intellectual challenges, and loss of purposeful hand movements.
• Preterm Birth: Infants born before 26 weeks of gestation may face a higher risk of developing autism or autism-like symptoms.
• Advanced Parental Age: There may be a possible link between older parents and the likelihood of having a child with ASD. More studies are needed to fully understand this relationship.
Being aware of these risk factors can help you seek timely support and resources for your child."
What are Autism Challenges?,"Issues with communication and behavior can result in:
• Difficulties in school and learning
• Job-related struggles
• Challenges in living independently
• Increased social isolation
• Family stress
• Risk of bullying or victimization"
What is Autism?,"Autism is the name of a type of Human Neurology, which includes the Brain and the Nervous System.Neurology is the process of the human body taking in sensory information, moving it around the body, processing it and then reacting to it.Autistic people actively process more sensory information than non-Autistic people and that can create big differences in processing speeds, communication styles and how we interpret and interact with the world. There is no negativity or positivity in this, just difference.Most descriptions of Autism won't tell you this, they're too busy telling you their perception of the negative impacts of Autistic Neurology."
What is Asperger's Syndrome?,"Asperger’s Syndrome is a Diagnosis with a really complicated and confusing back story and a lot of myth and misunderstanding wrapped up with it.  There is also a lot of controversy attached to it for many reasons. It was the diagnosis I received aged 23, although I now choose not to associate with it. I'm Autistic.

Asperger's Syndrome is NOT a subtype of Autism, it IS Autism.  There are historical political and clinical reasons for there being two diagnostic labels.  The article linked below, as briefly as possible, gives full context to this label, which by 2022 will no longer exist as a new diagnosis.Please read it in full and try not to get caught up on the smaller, more controversial aspects."
What are Learning Disabilities?,"Learning Disability, or LD (known as Intellectual Disability in some cases) is an umbrella term for a number of disabilities which impact on someone's ability to learn and interact with the world very much based on their IQ and the world's perception of what is the 'right way' to learn and exist.Identifiable Learning Disabilities are co-occurring conditions given to between 15-40% of Autistic people (dependant on the research).  Those Autistic people are usually the ones slapped with a problematic 'Low Functioning Autism' label, or worse 'Severe' Autism. (See my FAQ on Functioning Labels)"
What is Neurodiversity?,"The Neurodiversity paradigm is simply a way of understanding that there are many different people in the world with minds that work a little differently to help make them individuals.Sub-groups of humanity exist whose Neurological function from conception is markedly different from the rest of Humanity, these are called Neurodivergencies (singular: Neurodivergent) and include people who are Autistic, ADHD, BiPolar, Tourette's and so on.It is also possible to have acquired Neurodivergence.  So for example someone who may have been brain damaged in some way, or developed a Disease like Dementia."
What are co-occurring conditions?,"Co-occurring conditions are simply any stand-alone conditions that you have.  When you are Autistic it is likely that you have any of a large number of co-occurring conditions which occur regularly amongst Autistic people.  Although 'officially' research states that most Autistic people have one co-occurring condition, anecdotally it's a greater number.Through my work I have identified over 60 different co-occurring conditions, some present from birth and some acquired, these range from the obvious like ADHD, Dyslexia and Dyspraxia, to lesser well known ones such as Hyperlexia, Alexithymia and C-PTSD"
What is Autistic Masking?,"Masking is a psychological safety mechanism made up of layers of physical and social complex actions which an Autistic person uses consciously and unconsciously to ‘fit in’ and self-protect in an endless variety of differing situations and environments. 

This happens by applying, in fluctuating degrees, often uncontextualised and sometimes rehearsed, learnt behaviours to appropriate situations; whilst simultaneously suppressing both natural behaviours and self-identity. 

All this happens partly consciously with, over time, the person dissociating from the act; and partly subconsciously: pre-emptive, reactive and unplanned; And all at great mental and physical cost.

It's common amongst Autistic children and Adults and often is cited as one of the reasons that Autistic children are unidentified and not properly supported within schools.  The phrase ""They're fine in school."" is often used by teachers in reference to pupils who Mask.

Autistic Masking is now being recognised as a factor in the high suicide rate amongst Autistic people and is an identifiable factor in Autistic Burnout."
What is Autistic Burnout?,"One of the knock on effects of being Autistic in a world not designed for Autistic people, is how exhausting it is.  Constantly combatting sensory overload, communicating in ways not conducive for you, Autistic Masking, all takes up huge amounts of energy.  That adds up over time and leads to what is known as Autistic Burnout.  It's similar in physical expression to Clinical Depression and is starting to be identified with Autistic 'regression'."
Why are senses so important for Autistic people?,"Sensory information in integral to all humans ability to live.  Without sensory any sensory information we would die. All that sensory information is taken into the human body through the senses via the central Nervous system.  Although there are many sub senses there are 8 main ones which include: sight (Visual), taste (Gustatory), touch (Tactile), smell (Olfactory), hearing (Aural), balance (vestibular), internal messages (interoception) and body awareness (proprioception). The Nervous system is intrinsically part of the neurological system, so differences in sensory interpretation are very much at the heart of what makes Autistic people different from non-Autistic people. Autistic people take in more sensory information and often at different rates to non-Autistic people.Humans help themselves to regulate this information through self-stimulatory behaviour, these are repetitive movements or repetitive (verbal or mental) vocalisations.  Autistic people call this Stimming and because we take in and process so much more information, our Stimming can be more noticeable and take the form of things like handflapping, jigging, making noises, singing and dancing and much more"
What are Meltdowns and Shutdowns?,"Meltdowns and Shutdowns are overwhelm and trauma responses to a combination of too much sensory information and dysregulated emotions (including frustration, anger, sadness, happiness and excitement)A meltdown is an externalised physical response, a Shutdown is an internalised physical response.Neither of these things is a tantrum or 'challenging' behaviour, as neither is a choice. Nor do either have an intended outcome. Though tantrums can lead to Meltdowns."
Education issues,"Many parents struggle with their Autistic children's education and the Education system generally. There many reasons for this, ranging from poor quality Autism education and the way the education is set up."
